N,mse,mae,r2,sigma_exp_min,sigma_exp_max,sigma_model_min,sigma_model_max
1,1040.3953989784711,24.263809811129573,0.9664301575849783,9.320944158184835,9.320944158184835,9.320944158184835,9.320944158184835
2,1053.6646034720989,24.35668724665209,0.9660020077639957,4.8,18.1,4.8,18.1
3,1070.43722189506,24.573300167468297,0.9654608152924614,4.8,18.1,4.8,18.1
4,1176.0407536117334,24.886792241266786,0.9620533666227736,4.8,18.1,4.8,18.1
5,1133.7007080107498,25.032789905423957,0.9634195286223993,4.8,18.1,4.8,18.1
6,1084.9541071615633,24.896472943607385,0.9649924072706344,4.8,18.1,4.8,18.1
7,1077.4460075275965,24.701948654815446,0.9652346668209899,4.8,18.1,4.8,18.1
8,1071.2113804382325,24.776603432349134,0.965435835962176,4.8,18.1,4.8,18.1
9,1059.5216957089228,24.505227243135334,0.96581302032365,4.8,18.1,4.8,18.1
10,1064.149971961637,24.647027561299538,0.965663682384815,4.8,18.1,4.8,18.1
11,1065.2082260971467,24.633593951919913,0.9656295363047775,4.8,18.1,4.8,18.1
12,1118.0871955605953,25.070446030938857,0.9639233208854288,4.8,18.1,4.8,18.1
13,1100.2211844599192,24.812373694157017,0.9644997932322149,4.8,18.1,4.8,18.1
14,1055.7929853444152,24.519854886082584,0.9659333324852288,4.8,18.1,4.8,18.1
15,1039.2361927615457,24.306904698304397,0.9664675610280029,4.8,18.1,4.8,18.1
16,1093.4946429834142,24.448295814806045,0.9647168346931692,4.8,18.1,4.8,18.1
17,1092.8067239850911,24.557916298988935,0.9647390313814578,4.8,18.1,4.8,18.1
18,1061.81958776187,24.447476649660764,0.9657388755569777,4.8,18.1,4.8,18.1
19,1032.7634114819161,24.318438032176843,0.9666764145540349,4.8,18.1,4.8,18.1
20,1157.8799889233717,24.63625605873588,0.9626393496147431,4.8,18.1,4.8,18.1
21,1091.790545221895,24.84235899728366,0.964771819839557,4.8,18.1,4.8,18.1
22,1109.0357809605305,24.908812372493546,0.9642153776958063,4.8,18.1,4.8,18.1
23,1071.7482854650152,24.62559365136899,0.9654185119552083,4.8,18.1,4.8,18.1
24,1105.2993515758894,24.84413639201763,0.9643359389225865,4.8,18.1,4.8,18.1
25,1095.215299411475,24.860762861593237,0.9646613152577728,4.8,18.1,4.8,18.1
26,1068.36156778576,24.42090780370105,0.9655277892347007,4.8,18.1,4.8,18.1
27,1029.7122612227272,24.12886617642272,0.9667748642717923,4.8,18.1,4.8,18.1
28,1053.7425176258928,24.54630821220205,0.9659994937526234,4.8,18.1,4.8,18.1
29,1086.943091792533,24.730240132864864,0.9649282298428092,4.8,18.1,4.8,18.1
30,1063.4130952732826,24.625904657803,0.9656874587628456,4.8,18.1,4.8,18.1
31,1081.7423844734155,24.680894342573865,0.9650960380869833,4.8,18.1,4.8,18.1
32,1085.233355395194,24.787786375244757,0.9649833969278292,4.8,18.1,4.8,18.1
33,1080.0587398680934,24.873484573575197,0.9651503632830953,4.8,18.1,4.8,18.1
34,1075.355315877634,24.57467996016133,0.9653021259709406,4.8,18.1,4.8,18.1
35,1037.1409831510994,24.284737389808466,0.9665351659563967,4.8,18.1,4.8,18.1
36,1073.9603670026854,24.774033369286183,0.9653471359872815,4.8,18.1,4.8,18.1
37,1071.7360784724751,24.487632623576694,0.9654189058312447,4.8,18.1,4.8,18.1
38,1088.2758954567569,24.55053895451312,0.9648852250303869,4.8,18.1,4.8,18.1
39,1120.0881967817502,25.370380096865603,0.963858755725171,4.8,18.1,4.8,18.1
40,1118.5260207602196,24.59179051867553,0.9639091615640654,4.8,18.1,4.8,18.1
41,1068.0192859533986,24.572997333262748,0.9655388334465314,4.8,18.1,4.8,18.1
42,1072.0464734432073,24.60046758089779,0.965408890494514,4.8,18.1,4.8,18.1
43,1044.8735162466241,24.27791452693718,0.9662856647400893,4.8,18.1,4.8,18.1
44,1059.8961668270997,24.50316268847939,0.9658009374785715,4.8,18.1,4.8,18.1
45,1057.51343204562,24.489752707319862,0.9658778198169686,4.8,18.1,4.8,18.1
46,1054.2338853451133,24.435921448596908,0.9659836390718758,4.8,18.1,4.8,18.1
47,1081.5663240224926,24.841831950246906,0.9651017189287083,4.8,18.1,4.8,18.1
48,1074.516726495006,24.610833007986407,0.9653291842542177,4.8,18.1,4.8,18.1
49,1062.2901897617082,24.435885252418174,0.9657236909118031,4.8,18.1,4.8,18.1
50,1113.7188950723362,24.857631192851343,0.9640642703351824,4.8,18.1,4.8,18.1
51,1074.8124709652604,24.732132339813198,0.9653196416367942,4.8,18.1,4.8,18.1
52,1050.8622997565915,24.55128548858396,0.966092428092864,4.8,18.1,4.8,18.1
53,1166.3600515358971,24.985347391968386,0.962365728291685,4.8,18.1,4.8,18.1
54,1075.7396050995058,24.754269388135356,0.965289726330734,4.8,18.1,4.8,18.1
55,1027.8198064584024,24.2210111618641,0.9668359270257013,4.8,18.1,4.8,18.1
56,1073.8801798568334,24.659383882856982,0.9653497233399867,4.8,18.1,4.8,18.1
57,1084.8754323539006,24.76900452096347,0.9649949458255894,4.8,18.1,4.8,18.1
58,1090.60058495407,24.811100064265016,0.9648102156059264,4.8,18.1,4.8,18.1
59,1065.5152064483595,24.484081812840095,0.965619631145619,4.8,18.1,4.8,18.1
60,1102.6751591314824,24.945375778693133,0.9644206122370897,4.8,18.1,4.8,18.1
61,1084.2738462782363,24.661015696922608,0.9650143568589128,4.8,18.1,4.8,18.1
62,1035.7040613576303,24.26878313948595,0.966581530288858,4.8,18.1,4.8,18.1
63,1057.058694980593,24.546732985320308,0.9658924925573789,4.8,18.1,4.8,18.1
64,1076.7899987678888,24.6614965479016,0.9652558338798869,4.8,18.1,4.8,18.1
65,1080.1282959665484,24.553365047453173,0.9651481189563073,4.8,18.1,4.8,18.1
66,1075.9574041859926,24.76732549733122,0.9652826987323625,4.8,18.1,4.8,18.1
67,1048.9061749553853,24.497558059891883,0.9661555452513837,4.8,18.1,4.8,18.1
68,1055.6986361071363,24.524027614123682,0.9659363767980262,4.8,18.1,4.8,18.1
69,1061.721569194224,24.32383305046321,0.9657420382659563,4.8,18.1,4.8,18.1
70,1053.1461750510398,24.377974977728424,0.9660187355969095,4.8,18.1,4.8,18.1
71,1120.6586381349773,24.843668044243888,0.9638403496207671,4.8,18.1,4.8,18.1
72,1064.3786513208427,24.49928655043257,0.9656563037189159,4.8,18.1,4.8,18.1
73,1071.8613329886584,24.752198426492768,0.965414864315515,4.8,18.1,4.8,18.1
74,1087.3249261627382,24.414427753917906,0.9649159094118952,4.8,18.1,4.8,18.1
75,1056.8437401916165,24.49971990505032,0.9658994283804317,4.8,18.1,4.8,18.1
76,1077.9193681004153,24.52564326297771,0.9652193931665211,4.8,18.1,4.8,18.1
77,1062.2588385887418,24.58837195499977,0.9657247025021437,4.8,18.1,4.8,18.1
78,1074.1147682395872,24.808168749051273,0.9653421540110092,4.8,18.1,4.8,18.1
79,1154.8649016600928,24.81169742546893,0.9627366357084678,4.8,18.1,4.8,18.1
80,1031.3545020274012,24.297630943098305,0.9667218750284002,4.8,18.1,4.8,18.1
